TimeStamp, Role, Frame#, EyeGazePos, EyeGazeDir, GazeHitPoint, GazeHitNormal, DwellDuration, IsFixation, CurrentHitObject
12.18,,706,"0.03,1.59,0.01","0.03,-0.11,0.99","0.07,1.43,1.58","0.01,0.13,-0.99",12.18414,True,Capsule
12.25,,707,"0.01,1.59,0.03","0.13,-0.12,0.98","0.20,1.40,1.58","0.21,0.25,-0.95",0.06440353,False,Sphere
12.31,,710,"0.02,1.59,0.03","0.12,-0.13,0.98","0.20,1.39,1.58","-0.02,-0.10,-1.00",0.06241989,True,Sphere
12.36,,713,"0.02,1.59,0.03","0.12,-0.13,0.98","0.20,1.39,1.58","0.01,-0.13,-0.99",0.1148434,True,Sphere
12.42,,716,"0.02,1.59,0.02","0.13,-0.12,0.98","0.20,1.39,1.58","0.19,0.06,-0.98",0.170495,True,Sphere
12.49,,718,"0.02,1.59,0.02","0.13,-0.10,0.99","0.22,1.44,1.59","0.04,-0.03,-1.00",0.2370377,True,Object2_1_4_1
12.54,,721,"0.02,1.59,0.02","0.01,-0.07,1.00","0.04,1.48,1.60","0.00,0.00,-1.00",0.05767822,False,Cell(Clone)
12.63,,725,"0.02,1.59,0.01","0.03,-0.06,1.00","0.06,1.50,1.60","0.00,0.12,-0.99",0.08255196,True,Cell(Clone)
12.68,,728,"0.02,1.60,0.01","0.04,0.04,1.00","0.07,1.67,1.58","0.36,-0.19,-0.91",0.1335087,False,Object4_0_5_3
12.74,,730,"0.02,1.60,0.00","0.04,0.06,1.00","0.07,1.67,1.59","0.41,0.24,-0.88",0.06301212,True,Object4_0_5_3
12.81,,732,"0.02,1.59,0.00","0.04,0.05,1.00","0.07,1.67,1.59","0.36,-0.08,-0.93",0.1345444,True,Object4_0_5_3
12.86,,735,"0.02,1.60,-0.01","0.04,0.04,1.00","0.07,1.67,1.59","0.32,-0.13,-0.94",0.1868744,True,Object4_0_5_3
12.93,,738,"0.02,1.60,-0.01","0.07,0.08,0.99","0.14,1.72,1.60","-0.35,0.00,-0.94",0.2549677,True,Quad
12.99,,741,"0.02,1.60,-0.02","0.08,0.11,0.99","0.15,1.77,1.60","0.00,0.00,-1.00",0.06195164,True,Quad
13.31,,757,"0.01,1.61,-0.04","0.06,0.08,1.00","0.14,1.74,1.60","-0.86,0.00,-0.51",0.3809948,True,Quad
13.37,,759,"0.00,1.61,-0.03","0.36,0.01,0.93","0.62,1.63,1.58","-0.10,-0.16,-0.98",0.4413023,False,Capsule
13.43,,762,"0.00,1.60,-0.03","0.37,0.00,0.93","0.61,1.61,1.58","0.33,0.02,-0.94",0.05380821,True,Object3_4_5_0
13.49,,765,"0.00,1.60,-0.04","0.37,-0.01,0.93","0.62,1.58,1.58","-0.11,0.13,-0.99",0.06089115,True,Capsule
13.54,,766,"0.01,1.60,-0.05","0.11,0.00,0.99","0.19,1.60,1.59","0.00,-0.17,-0.98",0.05160713,False,Quad
13.59,,768,"0.01,1.59,-0.06","0.11,-0.04,0.99","0.20,1.52,1.59","-0.24,0.12,-0.96",0.05452633,True,Object2_1_4_3
13.67,,771,"0.02,1.59,-0.07","0.09,-0.08,0.99","0.16,1.45,1.59","0.26,0.16,-0.95",0.07134628,True,Object4_1_4_0
13.75,,774,"0.04,1.59,-0.08","0.13,-0.16,0.98","0.24,1.32,1.59","0.31,0.00,-0.95",0.0840683,False,Quad
13.84,,777,"0.06,1.59,-0.10","0.11,-0.25,0.96","0.24,1.15,1.59","0.25,0.00,-0.97",0.08650684,False,Quad
13.89,,780,"0.09,1.58,-0.11","0.10,-0.26,0.96","0.28,1.14,1.59","-0.36,0.00,-0.93",0.05833626,True,Quad
13.95,,783,"0.11,1.58,-0.12","0.10,-0.26,0.96","0.29,1.13,1.59","-0.29,0.00,-0.96",0.05559158,True,Object2_2_2_0
14.01,,787,"0.13,1.58,-0.13","0.10,-0.27,0.96","0.29,1.09,1.58","0.21,0.38,-0.90",0.06199837,True,Sphere
14.06,,790,"0.15,1.58,-0.15","0.01,-0.15,0.99","0.16,1.31,1.60","0.00,0.00,-1.00",0.05043602,False,Cell(Clone)
14.12,,792,"0.15,1.57,-0.15","0.12,-0.40,0.91","0.37,0.82,1.59","0.11,0.11,-0.99",0.05519104,False,Object4_2_0_1
14.18,,795,"0.17,1.57,-0.16","0.11,-0.43,0.90","0.38,0.77,1.59","0.00,-0.06,-1.00",0.06025887,True,Quad
14.26,,798,"0.20,1.57,-0.17","0.10,-0.41,0.91","0.37,0.80,1.59","0.24,-0.09,-0.97",0.08108521,True,Cylinder
14.31,,801,"0.21,1.57,-0.18","0.09,-0.40,0.91","0.38,0.82,1.59","-0.06,-0.11,-0.99",0.05208588,True,Object4_2_0_1
14.37,,803,"0.21,1.57,-0.19","0.07,-0.41,0.91","0.36,0.80,1.59","-0.38,-0.13,-0.91",0.06156063,True,Cylinder
14.43,,806,"0.22,1.56,-0.21","0.06,-0.41,0.91","0.34,0.78,1.59","-0.08,0.00,-1.00",0.05879021,True,Quad
14.49,,809,"0.21,1.57,-0.23","0.07,-0.41,0.91","0.34,0.77,1.59","0.00,0.00,-1.00",0.06206131,True,Quad
14.57,,812,"0.21,1.57,-0.24","0.08,-0.40,0.91","0.36,0.80,1.58","0.05,-0.12,-0.99",0.139122,True,Cylinder
14.63,,815,"0.19,1.57,-0.25","0.00,-0.33,0.94","0.19,0.93,1.59","0.00,0.00,-1.00",0.05659199,False,Quad
14.68,,818,"0.19,1.57,-0.26","0.00,-0.33,0.94","0.20,0.95,1.59","-0.12,-0.36,-0.92",0.05013752,True,Cylinder
14.73,,820,"0.19,1.57,-0.27","0.00,-0.35,0.94","0.20,0.90,1.60","0.00,0.00,-1.00",0.05436897,True,Cell(Clone)
14.79,,821,"0.19,1.57,-0.28","-0.02,-0.36,0.93","0.16,0.88,1.59","0.08,-0.19,-0.98",0.05442333,True,Object4_1_0_2
14.87,,824,"0.20,1.57,-0.29","-0.03,-0.33,0.94","0.14,0.92,1.59","0.00,0.00,-1.00",0.08244514,True,Quad
14.93,,827,"0.21,1.58,-0.31","-0.03,-0.31,0.95","0.15,0.98,1.58","0.18,-0.18,-0.97",0.05936718,True,Object4_1_1_0
14.98,,830,"0.22,1.58,-0.32","-0.03,-0.29,0.96","0.19,1.02,1.59","-0.38,0.00,-0.92",0.05061913,True,Quad
15.03,,833,"0.23,1.58,-0.34","-0.04,-0.27,0.96","0.16,1.05,1.60","0.00,0.00,-1.00",0.0502491,True,Cell(Clone)
15.09,,835,"0.25,1.58,-0.35","-0.02,-0.16,0.99","0.21,1.26,1.59","0.20,0.23,-0.95",0.06498432,False,Cylinder
15.15,,838,"0.27,1.58,-0.37","-0.03,-0.16,0.99","0.21,1.29,1.58","0.20,-0.20,-0.96",0.05984879,True,Object4_1_3_1
15.21,,840,"0.30,1.59,-0.38","-0.04,-0.15,0.99","0.22,1.29,1.59","0.07,0.00,-1.00",0.05642128,True,Object4_1_3_1
15.29,,843,"0.33,1.59,-0.40","-0.04,-0.13,0.99","0.23,1.34,1.58","0.33,0.10,-0.94",0.1329212,True,Capsule
15.35,,846,"0.37,1.59,-0.41","-0.05,-0.12,0.99","0.28,1.35,1.59","-0.21,0.17,-0.96",0.05935478,True,Quad
15.41,,848,"0.39,1.60,-0.42","-0.06,-0.12,0.99","0.30,1.36,1.58","-0.56,-0.03,-0.83",0.06428623,True,Object2_2_3_2
15.46,,851,"0.41,1.60,-0.43","-0.06,-0.10,0.99","0.30,1.39,1.60","0.00,0.00,-1.00",0.05186558,True,Cell(Clone)
15.52,,853,"0.43,1.60,-0.44","-0.06,-0.08,0.99","0.31,1.45,1.59","0.00,-0.11,-0.99",0.06170845,True,Quad
15.58,,856,"0.45,1.60,-0.44","-0.07,-0.08,0.99","0.31,1.45,1.59","0.00,-0.11,-0.99",0.05531693,True,Quad
15.63,,859,"0.46,1.60,-0.45","-0.06,-0.07,1.00","0.35,1.46,1.58","-0.38,0.01,-0.92",0.1094055,True,Sphere
15.69,,863,"0.47,1.60,-0.45","-0.06,-0.08,1.00","0.35,1.46,1.58","-0.27,-0.13,-0.95",0.06079197,True,Sphere
15.76,,866,"0.47,1.60,-0.46","-0.07,-0.09,0.99","0.35,1.42,1.59","-0.33,0.07,-0.94",0.1302967,True,Cube
15.83,,868,"0.48,1.60,-0.47","-0.07,-0.10,0.99","0.34,1.40,1.59","-0.22,0.00,-0.98",0.06536388,True,Quad
15.89,,871,"0.47,1.60,-0.47","-0.07,-0.08,0.99","0.35,1.46,1.58","-0.25,-0.21,-0.94",0.06112289,True,Sphere
15.96,,874,"0.47,1.60,-0.48","-0.06,-0.06,1.00","0.36,1.50,1.59","-0.16,-0.24,-0.96",0.07376194,True,Object2_2_4_3
16.03,,877,"0.47,1.60,-0.48","-0.06,-0.06,1.00","0.35,1.46,1.58","-0.10,0.30,-0.95",0.06420135,True,Sphere
16.09,,879,"0.46,1.60,-0.49","-0.06,-0.07,1.00","0.35,1.46,1.58","-0.05,0.09,-1.00",0.06381798,True,Sphere
16.14,,881,"0.46,1.60,-0.49","-0.05,-0.07,1.00","0.35,1.46,1.58","-0.01,-0.05,-1.00",0.1161156,True,Sphere
16.21,,884,"0.45,1.60,-0.49","-0.05,-0.07,1.00","0.35,1.46,1.58","-0.10,0.03,-0.99",0.1829643,True,Sphere
16.26,,887,"0.45,1.60,-0.50","-0.09,-0.19,0.98","0.28,1.19,1.59","-0.19,0.36,-0.91",0.2343235,False,Quad
16.34,,889,"0.45,1.60,-0.50","-0.08,-0.20,0.98","0.31,1.17,1.58","-0.41,0.01,-0.91",0.07876015,True,Capsule
16.40,,891,"0.45,1.60,-0.50","-0.07,-0.20,0.98","0.31,1.17,1.58","-0.09,0.10,-0.99",0.0548687,True,Capsule
16.47,,894,"0.45,1.60,-0.51","-0.06,-0.20,0.98","0.31,1.18,1.58","-0.06,0.07,-1.00",0.1249962,True,Capsule
16.53,,897,"0.44,1.60,-0.51","-0.06,-0.20,0.98","0.31,1.18,1.58","-0.12,0.14,-0.98",0.1897354,True,Capsule
16.60,,901,"0.44,1.60,-0.51","-0.07,-0.20,0.98","0.31,1.17,1.58","-0.16,0.14,-0.98",0.2554092,True,Capsule
16.65,,903,"0.44,1.60,-0.51","-0.07,-0.20,0.98","0.31,1.17,1.58","-0.24,0.14,-0.96",0.3080082,True,Capsule
16.71,,906,"0.43,1.60,-0.52","-0.08,-0.03,1.00","0.28,1.54,1.59","-0.05,-0.09,-1.00",0.3703461,False,Quad
16.78,,909,"0.42,1.60,-0.51","0.14,-0.16,0.98","0.75,1.24,1.58","-0.42,0.25,-0.87",0.06637573,False,Sphere
16.83,,911,"0.42,1.60,-0.51","0.14,-0.17,0.98","0.75,1.24,1.58","-0.51,0.19,-0.84",0.05439949,True,Sphere
16.90,,915,"0.42,1.60,-0.51","0.14,-0.16,0.98","0.69,1.27,1.58","0.30,-0.16,-0.94",0.1193581,True,Capsule
16.95,,917,"0.42,1.60,-0.51","0.13,-0.16,0.98","0.69,1.27,1.58","0.19,-0.17,-0.97",0.05340004,True,Capsule
17.00,,919,"0.42,1.60,-0.51","0.13,-0.16,0.98","0.69,1.27,1.58","0.17,-0.19,-0.97",0.1073265,True,Capsule
17.06,,922,"0.42,1.60,-0.51","0.14,-0.16,0.98","0.69,1.27,1.58","0.39,-0.21,-0.90",0.1602974,True,Capsule
17.11,,924,"0.42,1.60,-0.51","0.15,-0.16,0.97","0.75,1.24,1.58","-0.27,0.25,-0.93",0.2126999,True,Sphere
17.16,,927,"0.42,1.60,-0.51","0.16,-0.16,0.97","0.75,1.24,1.58","-0.03,0.28,-0.96",0.05139351,True,Sphere
17.21,,929,"0.42,1.60,-0.52","-0.06,-0.03,1.00","0.29,1.54,1.59","0.00,0.00,-1.00",0.1038742,False,Quad
17.27,,932,"0.41,1.60,-0.51","0.06,0.03,1.00","0.53,1.67,1.59","0.18,-0.15,-0.97",0.05327988,False,Object2_3_5_3
17.35,,936,"0.41,1.61,-0.51","0.07,0.04,1.00","0.53,1.67,1.59","0.60,0.14,-0.79",0.07952309,True,Object2_3_5_3
